model_type,colors_used,num_train_samples,epochs,batch_size,train_time_sec,test_loss,test_accuracy,epoch_90_accuracy,epoch_95_accuracy
FFNN,"G,B,RB,GB",300,200,20,13.863563060760498,0.1223761290311813,1.0,,
FFNN,"G,B,RB,GB",600,200,20,16.847387313842773,0.0250516850501298,1.0,,
FFNN,"G,B,RB,GB",900,200,20,20.54046511650085,0.0012889570789411,1.0,,
FFNN,"G,B,RB,GB",1500,200,20,26.7491261959076,0.0052244807593524,1.0,,
FFNN,"G,RG,RB,GB",300,200,20,14.909273624420166,0.0695471614599227,1.0,,
FFNN,"G,RG,RB,GB",600,200,20,17.330849409103394,0.1326857656240463,0.9375,,
FFNN,"G,RG,RB,GB",900,200,20,20.739929914474487,0.0181350968778133,1.0,,
FFNN,"G,RG,RB,GB",1500,200,20,27.01026153564453,0.0011997746769338,1.0,,
FFNN,"B,RG,RB,GB",300,200,20,13.943800449371338,0.0402608141303062,1.0,,
FFNN,"B,RG,RB,GB",600,200,20,16.92353057861328,0.0160223543643951,1.0,,
FFNN,"B,RG,RB,GB",900,200,20,20.596752405166622,0.0093403812497854,1.0,,
FFNN,"B,RG,RB,GB",1500,200,20,26.862882375717163,0.002925767796114,1.0,,
FFNN,"R,G,B,RG,RB",300,200,20,13.78997015953064,0.0701659545302391,1.0,,
FFNN,"R,G,B,RG,RB",600,200,20,16.721662759780884,0.1659861207008361,0.9375,,
FFNN,"R,G,B,RG,RB",900,200,20,20.51454448699951,0.0164229441434144,1.0,,
FFNN,"R,G,B,RG,RB",1500,200,20,26.770825386047363,0.0222654938697814,1.0,,
FFNN,"R,G,B,RG,GB",300,200,20,13.489781856536863,0.0101381251588463,1.0,,
FFNN,"R,G,B,RG,GB",600,200,20,18.010750770568848,0.0023015232291072,1.0,,
FFNN,"R,G,B,RG,GB",900,200,20,20.60448908805847,0.0133288903161883,1.0,,
FFNN,"R,G,B,RG,GB",1500,200,20,26.96440577507019,0.0134628694504499,1.0,,
FFNN,"R,G,B,RB,GB",300,200,20,13.910539627075195,0.1145814210176467,0.9375,,
FFNN,"R,G,B,RB,GB",600,200,20,17.016279697418213,0.0050799148157238,1.0,,
FFNN,"R,G,B,RB,GB",900,200,20,20.650874614715576,0.079213835299015,0.9375,,
FFNN,"R,G,B,RB,GB",1500,200,20,27.41927528381348,0.0002380219957558,1.0,,
FFNN,"R,G,RG,RB,GB",300,200,20,13.93839955329895,0.0134287057444453,1.0,,
FFNN,"R,G,RG,RB,GB",600,200,20,17.21072292327881,0.0319645255804061,1.0,,
FFNN,"R,G,RG,RB,GB",900,200,20,21.047702074050903,0.041865799576044,1.0,,
FFNN,"R,G,RG,RB,GB",1500,200,20,27.330749034881592,0.0064385272562503,1.0,,
FFNN,"R,B,RG,RB,GB",300,200,20,13.917492866516112,0.0213881954550743,1.0,,
FFNN,"R,B,RG,RB,GB",600,200,20,17.084892749786377,0.0011725138174369,1.0,,
FFNN,"R,B,RG,RB,GB",900,200,20,20.647666931152344,0.0002181917516281,1.0,,
FFNN,"R,B,RG,RB,GB",1500,200,20,27.459351539611816,6.183307414175943e-05,1.0,,
FFNN,"G,B,RG,RB,GB",300,200,20,14.17337417602539,0.107442021369934,0.9375,,
FFNN,"G,B,RG,RB,GB",600,200,20,17.36075186729431,0.0132923629134893,1.0,,
FFNN,"G,B,RG,RB,GB",900,200,20,20.92929220199585,0.2105775475502014,0.9375,,
FFNN,"G,B,RG,RB,GB",1500,200,20,27.228761434555054,0.001277185161598,1.0,,
FFNN,"R,G,B,RG,RB,GB",300,200,20,13.768116474151611,0.0711528658866882,1.0,,
FFNN,"R,G,B,RG,RB,GB",600,200,20,16.961637258529663,0.0188674814999103,1.0,,
FFNN,"R,G,B,RG,RB,GB",900,200,20,21.06790518760681,0.0008998171542771,1.0,,
FFNN,"R,G,B,RG,RB,GB",1500,200,20,27.273194551467896,0.0092739528045058,1.0,,
